,current_5576
0,246.0
1,248.0
2,315.75
3,324.75
4,412.0
5,384.5
6,268.5
7,246.5
8,327.5
9,347.0
10,409.75
11,388.25
12,252.75
13,229.5
14,318.25
15,323.75
16,386.5
17,363.75
18,253.5
19,228.0
20,291.75
21,300.0
22,368.75
23,357.5
24,238.0
25,243.75
26,320.5
27,331.5
28,417.0
29,387.5
30,272.5
31,271.75
32,327.0
33,343.75
34,419.25
35,396.0
36,257.5
37,252.0
38,344.75
39,338.75
40,419.25
41,389.5
42,259.75
43,266.0
44,329.75
45,352.0
46,412.5
47,397.75
48,259.5
49,256.5
50,335.0
51,357.5
52,419.0
53,392.5
54,297.25
55,239.5
56,340.75
57,335.0
58,383.5
59,370.0
60,258.75
61,260.75
62,302.5
63,320.75
64,369.5
65,360.0
66,246.75
67,276.25
68,362.75
69,365.0
70,443.5
71,414.5
72,271.25
73,265.0
74,351.75
75,358.75
76,447.25
77,412.75
78,289.5
79,265.25
80,353.5
81,360.25
82,452.5
83,411.0
84,274.75
85,264.0
86,356.25
87,381.5
88,449.25
89,410.5
90,270.25
91,260.75
92,351.5
93,368.5
94,442.75
95,400.25
96,276.0
97,270.25
98,345.5
99,352.75
100,409.25
101,392.25
102,279.5
103,244.25
104,308.75
105,321.0
106,405.0
107,382.5
108,257.0
109,261.25
110,482.0
111,435.75
112,435.5
113,397.75
114,263.75
115,256.75
116,354.25
117,363.75
118,448.0
119,412.25
120,277.0
121,268.5
122,349.5
123,362.25
124,432.0
125,407.5
126,263.5
127,264.25
128,347.25
129,345.25
130,428.0
131,402.5
132,266.25
133,265.25
134,354.0
135,350.75
136,413.0
137,393.25
138,274.25
139,236.0
140,329.0
141,326.5
142,380.75
143,359.75
